,specimen_id,primary_image_x_size,primary_image_y_size,primary_image_z_size,orientation,primary_x_resolution,primary_y_resolution,primary_z_resolution,x_axis,y_axis,z_axis,downsampled_red_method,downsampled_red_volume_path,downsample_image_x_size,downsample_image_y_size,downsample_image_z_size,downsample_x_resolution,downsample_y_resolution,downsample_z_resolution,downsample_x_origin,downsample_y_origin,downsample_z_origin
0,mouseID_210254_15257,21168,36400,10252,IRA,0.3,0.3,1,inferior-to-superior,right-to-left,anterior-to-posterior,red_xy32z8,15257_red_mm_IRA.nii.gz,661,1137,1278,9.600000455975533,9.600000455975533,8.00000037997961,0.0,0.0,0.0
1,mouseID_297974_17109,22793,35000,10553,SLA,0.3,0.3,1,superior-to-inferior,left-to-right,anterior-to-posterior,red_xy32z8,17109_red_mm_SLA.nii.gz,712,1094,1319,9.600000455975533,9.600000455975533,8.00000037997961,10.492799758911133,0.0,6.8256001472473145
2,mouseID_321237_17302,34412,54600,9847,IRA,0.2,0.2,1,inferior-to-superior,right-to-left,anterior-to-posterior,red_xy32z8,17302_red_mm_IRA.nii.gz,1075,1706,1230,6.399999838322401,6.399999838322401,8.00000037997961,0.0,0.0,0.0
3,mouseID_344548_17542,34748,54600,11333,IRA,0.2,0.2,1,inferior-to-superior,right-to-left,anterior-to-posterior,red_xy32z8,17542_red_mm_IRA.nii.gz,1086,1706,1416,6.399999838322401,6.399999838322401,8.00000037997961,0.0,0.0,0.0
4,mouseID_321244_17545,35989,54600,10750,IRA,0.2,0.2,1,inferior-to-superior,right-to-left,anterior-to-posterior,red_xy32z8,17545_red_mm_IRA.nii.gz,1124,1706,1343,6.399999838322401,6.399999838322401,8.00000037997961,0.0,0.0,0.0
5,mouseID_339951_17781,34722,54600,11021,SLA,0.2,0.2,1,superior-to-inferior,left-to-right,anterior-to-posterior,red_xy32z8,17781_red_mm_SLA.nii.gz,1085,1706,1377,6.399999838322401,6.399999838322401,8.00000037997961,10.911999702453613,0.0,6.937600135803223
6,mouseID_339952_17782,45000,28000,11786,RSA,0.2,0.2,1,right-to-left,superior-to-inferior,anterior-to-posterior,red_xy32z8,17782_red_mm_RSA.nii.gz,1406,875,1473,6.399999838322401,6.399999838322401,8.00000037997961,0.0,0.0,5.593599796295166
7,mouseID_351327_17787,36400,24275,11478,RSA,0.23,0.23,1,right-to-left,superior-to-inferior,anterior-to-posterior,red_xy32z8,17787_red_mm_RSA.nii.gz,1137,759,1434,7.360000163316727,7.360000163316727,8.00000037997961,0.0,0.0,5.5788798332214355
8,mouseID_351331_17788,35000,27188,11122,RSA,0.23,0.23,1,right-to-left,superior-to-inferior,anterior-to-posterior,red_xy32z8,17788_red_mm_RSA.nii.gz,1094,850,1390,7.360000163316727,7.360000163316727,8.00000037997961,0.0,0.0,6.248640060424805
9,mouseID_358361_18047,36000,28000,11561,RSA,0.23,0.23,1,right-to-left,superior-to-inferior,anterior-to-posterior,red_xy32z8,18047_red_mm_RSA.nii.gz,1125,875,1445,7.360000163316727,7.360000163316727,8.00000037997961,0.0,0.0,6.432640075683594
10,mouseID_367667_18052,35000,28303,10923,RSA,0.23,0.23,1,right-to-left,superior-to-inferior,anterior-to-posterior,red_xy32z8,18052_red_mm_RSA.nii.gz,1094,884,1365,7.360000163316727,7.360000163316727,8.00000037997961,0.0,0.0,6.498879909515381
11,mouseID_355458_18053,37000,25600,12500,RSA,0.23,0.23,1,right-to-left,superior-to-inferior,anterior-to-posterior,red_xy32z8,18053_red_mm_RSA.nii.gz,1156,800,1562,7.360000163316727,7.360000163316727,8.00000037997961,0.0,0.0,5.880640029907227
12,mouseID_375886_182709,18839,30801,11017,SLA,0.35,0.35,1,superior-to-inferior,left-to-right,anterior-to-posterior,red_10umiso,182709_red_mm_SLA.nii.gz,659,1078,1101,9.999999776482582,9.999999776482582,9.999999776482582,10.770000457763672,0.0,6.579999923706055
13,mouseID_375891_182711,19830,30801,11092,SLA,0.35,0.35,1,superior-to-inferior,left-to-right,anterior-to-posterior,red_10umiso,182711_red_mm_SLA.nii.gz,694,1078,1109,9.999999776482582,9.999999776482582,9.999999776482582,10.770000457763672,0.0,6.929999828338623
14,mouseID_372164_182712,25326,39201,10764,SLA,0.23,0.23,1,superior-to-inferior,left-to-right,anterior-to-posterior,red_xy32z8,182712_red_mm_SLA.nii.gz,791,1225,1345,7.360000163316727,7.360000163316727,8.00000037997961,9.00864028930664,0.0,5.8144001960754395
